sample name,Campaign,Location,up or downstream,Sample,date,lat,lon,d10,d16,d25,d30,d50,d60,d75,d84,d90,Mean Grain Size dm [mm],Geometrical mean dg [mm],Sorting Index 1 ds,Fredle - Index,Grain Size std,Geometric Standard Deviation,Skewness,Kurtosis,Coefficient of uniformity - Cu,Curvature coefficient - Cc,Carling and Reader (1982) [Porosity],Wu and Wang (2006) [Porosity],Wooster et al. (2008) [Porosity],Frings et al. (2011)  [Porosity],Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf],250,125,63,31.5,16,8,4,2,1,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05
FP-A AFTER,After,A,,FP,09.02.2022,6155287.856,1464299.602,1.071428571,4.110721248,7.212475634,9.076233184,17.77868852,24.79815574,39.0915,51.6222,59.976,27.05659672,14.56723977,3.543718702,4.110721248,28.44325917,2.315959534,2.321892162,10.00334894,23.14494536,3.100478212,0.221601685,0.244744029,0.215494971,0.20869439,8.81E-05,0.000126025,7.97E-05,7.12E-05,100,100,92.1719457,69.54751131,47.46606335,27.28506787,15.67873303,11.76470588,9.864253394,9.027149321,4.230769231,1.470588235,0.610859729,0,0,0
FP-A BEFORE,Before,A,,FP,02.02.2022,6155287.881,1464298.541,0.390108696,1.266285714,4.524008351,6.252192067,14.92027972,22.25120712,36.33692893,48.24968528,56.19152284,23.78994117,7.816513749,6.172788385,1.266285714,26.60578446,2.657345179,2.570528056,13.52178879,57.03848021,4.503243335,0.231159082,0.249045753,0.184366262,0.190466752,3.55E-05,4.66E-05,1.60E-05,1.79E-05,100,100,95.14375453,71.34573568,52.33148103,35.056777,23.48393332,20.34307804,14.42377386,12.44261899,6.885721189,3.624063784,1.522106789,0,0,0
FP-B AFTER,After,B,,FP,09.02.2022,6155356.345,1464361.145,0.305014025,0.392510519,0.939935065,1.811020408,6.247165533,8.25427027,13.64972973,18.4684472,24.47445652,9.960317252,2.692407806,6.859453891,0.392510519,15.91142873,2.374532495,9.032593626,127.4841296,27.06193679,1.302711341,0.28421059,0.272921205,0.209803155,0.225653454,7.01E-05,6.02E-05,2.31E-05,3.00E-05,100,100,100,97.01851407,81.5340226,59.2930993,38.08607838,31.11324838,25.22240923,23.37100264,6.227458524,1.20221207,0.312575138,0,0,0
FP-B BEFORE,Before,B,,FP,02.02.2022,6155354.552,1464362.584,0.339377289,0.479267399,1.902912621,4.636265709,12.58811262,17.38545941,27.94647636,38.68043035,49.5795017,19.50356275,4.305609046,8.983730278,0.479267399,23.62460591,2.683522367,3.380041144,23.30916914,51.22752746,3.64307144,0.240769002,0.253370997,0.182173833,0.195178767,3.79E-05,4.57E-05,1.42E-05,1.80E-05,100,100,97.3880597,80.04713276,58.03220738,39.19874313,28.26001571,25.58915947,19.52081697,16.88923802,6.166535742,3.024351925,1.197957581,0,0,0
FP-RP BEFORE,Before,RP,,FP,31.01.2022,6155210.932,1464118.075,0.489187956,1.081052632,2.489840348,3.66298984,10.05414013,15.20254777,29.24872248,41.0881548,49.65622546,18.42795915,6.664717388,6.165025822,1.081052632,22.14874469,2.422345954,3.497101977,28.60403584,31.07710968,1.804177637,0.254015603,0.259332811,0.205268521,0.203308559,8.90E-05,9.60E-05,4.14E-05,4.00E-05,100,100,99.34430286,77.28566126,61.54892985,46.01014475,31.43634789,22.91228504,15.39032537,10.29320797,3.51354695,1.905233205,0.754670296,0,0,0
FP-RP AFTER,After,RP,,FP,07.02.2022,6155205.685,1464114.238,0.750980392,1.525462555,3.859649123,5.326503341,13.06666667,18.79388357,29.95799558,43.38,53.66842105,21.28594408,8.134775082,5.332661267,1.525462555,23.70658979,2.293195684,1.792895642,3.621878483,25.02579796,2.010200042,0.238629947,0.25240826,0.217748484,0.208221073,0.000141534,0.000173724,0.000101871,8.69E-05,100,100,95.44198895,77.0718232,56.24616329,39.2111725,25.42971148,19.3063229,12.3388582,7.642725599,1.995089012,0.95150399,0.368324125,0,0,0
FC-B1 BEFORE,Before,B,upstream,FC,01.02.2022,6155346.993,1464364.28,0.429156479,2.092964427,6.025390625,8.192578497,16.88381674,22.56578774,31.08874423,49.17995122,61.99737805,25.90953354,10.14553539,4.847447603,2.092964427,29.50474521,2.485901821,2.374737338,9.221029314,52.58172446,6.930667278,0.224381248,0.245995104,0.199392242,0.201601546,6.94E-05,9.67E-05,4.57E-05,4.75E-05,100,100,90.46934005,75.72379069,48.44452437,29.54504586,20.33806869,15.78852724,13.64862435,12.08415753,4.729365222,1.366660673,0.521488941,0,0,0
FC-B2 AFTER,After,B,downstream,FC,08.02.2022,6155354.29,1464362.121,0.349230769,0.481461538,4.752136752,6.711111111,15.21790342,20.71149798,29.34129555,40.42537102,50.63003534,20.89157489,4.411718636,9.163179785,0.481461538,21.23580455,2.591637852,1.702961969,3.968736762,59.30605147,6.226799001,0.23006444,0.248553068,0.189986418,0.201356759,4.84E-05,6.41E-05,2.46E-05,3.02E-05,100,100,97.27312391,78.7521815,51.81064572,33.28970332,23.08027923,19.65532286,18.08464223,16.84118674,5.497382199,1.679755672,0.676265271,0,0,0
FC-B2 BEFORE,Before,B,downstream,FC,01.02.2022,6155353.451,1464362.749,0.350767544,0.840204082,4.650994575,6.693670886,14.88304624,19.78786437,27.59964307,34.4501427,46.16772777,19.61829404,5.38006975,6.403289233,0.840204082,21.43450029,2.532241502,3.912489316,33.25073536,56.41304252,6.455210126,0.231297882,0.249108226,0.195214063,0.202443909,4.39E-05,5.75E-05,2.41E-05,2.74E-05,100,100,98.61898017,82.48937677,52.7266289,33.19759207,23.40651558,18.67917847,16.55453258,14.8194051,6.745750708,2.213172805,0.938385269,0,0,0
FC-RP BEFORE,Before,RP,,FC,01.02.2022,6155209.526,1464116.977,0.409415584,0.79638796,1.628166466,3.025263158,9.651832461,13.3895288,22.8125,30.46142857,41.68450237,15.14526092,4.925354297,6.184616726,0.79638796,16.19117445,2.40006979,1.273301809,0.752588667,32.70400372,1.669539326,0.256490134,0.260446474,0.20736887,0.209530511,9.14E-05,9.67E-05,4.25E-05,4.41E-05,100,100,100,85.22201989,66.98417145,45.58061353,30.64855022,29.31783163,17.705561,13.51729934,3.810057431,0.938506794,0.420226923,0,0,0
